,acceleration,SPEED,Frequency
0,-7.9,3.0,4.2843102560389494e-07
1,-7.8,2.0,4.2843102560389494e-07
2,-7.7,2.0,4.2843102560389494e-07
3,-7.7,5.0,4.2843102560389494e-07
4,-7.6,2.0,8.568620512077899e-07
5,-7.5,2.0,4.2843102560389494e-07
6,-7.4,2.0,4.2843102560389494e-07
7,-7.2,1.0,4.2843102560389494e-07
8,-7.1,2.0,8.568620512077899e-07
9,-7.0,1.0,4.2843102560389494e-07
10,-7.0,2.0,4.2843102560389494e-07
11,-6.9,1.0,4.2843102560389494e-07
12,-6.9,2.0,8.568620512077899e-07
13,-6.9,3.0,4.2843102560389494e-07
14,-6.8,1.0,8.568620512077899e-07
15,-6.8,2.0,4.2843102560389494e-07
16,-6.8,3.0,4.2843102560389494e-07
17,-6.7,1.0,4.2843102560389494e-07
18,-6.7,6.0,4.2843102560389494e-07
19,-6.6,1.0,1.2852930768116849e-06
20,-6.6,4.0,4.2843102560389494e-07
21,-6.6,7.0,4.2843102560389494e-07
22,-6.5,1.0,1.7137241024155797e-06
23,-6.5,2.0,1.7137241024155797e-06
24,-6.5,3.0,4.2843102560389494e-07
25,-6.5,5.0,4.2843102560389494e-07
26,-6.4,1.0,8.568620512077899e-07
27,-6.4,2.0,2.5705861536233697e-06
28,-6.4,5.0,4.2843102560389494e-07
29,-6.3,2.0,2.142155128019475e-06
30,-6.2,1.0,1.2852930768116849e-06
31,-6.2,2.0,2.5705861536233697e-06
32,-6.2,4.0,4.2843102560389494e-07
33,-6.2,6.0,4.2843102560389494e-07
34,-6.2,7.0,4.2843102560389494e-07
35,-6.1,1.0,1.7137241024155797e-06
36,-6.1,2.0,8.568620512077899e-07
37,-6.0,1.0,2.142155128019475e-06
38,-6.0,2.0,1.7137241024155797e-06
39,-6.0,3.0,4.2843102560389494e-07
40,-6.0,4.0,4.2843102560389494e-07
41,-5.9,1.0,2.142155128019475e-06
42,-5.9,2.0,2.9990171792272646e-06
43,-5.9,3.0,8.568620512077899e-07
44,-5.9,4.0,8.568620512077899e-07
45,-5.9,5.0,4.2843102560389494e-07
46,-5.8,1.0,3.855879230435055e-06
47,-5.8,2.0,3.4274482048311595e-06
48,-5.8,3.0,1.2852930768116849e-06
49,-5.7,1.0,2.9990171792272646e-06
50,-5.7,2.0,1.2852930768116849e-06
51,-5.6,1.0,2.5705861536233697e-06
52,-5.6,2.0,2.5705861536233697e-06
53,-5.6,3.0,8.568620512077899e-07
54,-5.6,4.0,4.2843102560389494e-07
55,-5.5,1.0,1.7137241024155797e-06
56,-5.5,2.0,1.7137241024155797e-06
57,-5.5,3.0,1.7137241024155797e-06
58,-5.5,6.0,4.2843102560389494e-07
59,-5.4,1.0,2.9990171792272646e-06
60,-5.4,2.0,5.569603332850634e-06
61,-5.4,3.0,1.7137241024155797e-06
62,-5.4,5.0,4.2843102560389494e-07
63,-5.3,1.0,8.997051537681793e-06
64,-5.3,2.0,5.998034358454529e-06
65,-5.3,3.0,1.7137241024155797e-06
66,-5.3,26.0,4.2843102560389494e-07
67,-5.2,1.0,5.1411723072467395e-06
68,-5.2,2.0,5.998034358454529e-06
69,-5.2,3.0,4.2843102560389494e-07
70,-5.1,1.0,9.425482563285689e-06
71,-5.1,2.0,7.71175846087011e-06
72,-5.1,3.0,3.855879230435055e-06
73,-5.1,4.0,8.568620512077899e-07
74,-5.1,5.0,4.2843102560389494e-07
75,-5.1,6.0,4.2843102560389494e-07
76,-5.1,7.0,4.2843102560389494e-07
77,-5.0,1.0,7.71175846087011e-06
78,-5.0,2.0,8.140189486474004e-06
79,-5.0,3.0,4.2843102560389494e-07
80,-5.0,4.0,4.2843102560389494e-07
81,-5.0,6.0,4.2843102560389494e-07
82,-4.9,1.0,1.4138223844928534e-05
83,-4.9,2.0,1.1996068716909058e-05
84,-4.9,3.0,2.142155128019475e-06
85,-4.9,4.0,4.2843102560389494e-07
86,-4.9,5.0,4.2843102560389494e-07
87,-4.9,7.0,4.2843102560389494e-07
88,-4.8,1.0,1.4566654870532428e-05
89,-4.8,2.0,1.3281361793720744e-05
90,-4.8,3.0,4.7127412816428446e-06
91,-4.8,4.0,4.2843102560389494e-07
92,-4.8,5.0,8.568620512077899e-07
93,-4.8,7.0,4.2843102560389494e-07
94,-4.7,1.0,1.1996068716909058e-05
95,-4.7,2.0,1.542351692174022e-05
96,-4.7,3.0,1.7137241024155797e-06
97,-4.7,7.0,4.2843102560389494e-07
98,-4.6,1.0,1.7565672049759693e-05
99,-4.6,2.0,1.0710775640097375e-05
