average_speed,maximum_speed,minimum_speed,acceleration_rates
9.412433,9.412433,9.412433,0.25
11.316355,12.524374,9.335469,0.8
15.428015,15.428015,15.428015,0.25
14.214543,14.214543,14.214543,0.0
8.8597088,10.593957,7.1254606,0.0
7.2152796,7.2152796,7.2152796,0.25
1.972596,3.945192,0.0,0.0
0.0,0.0,0.0,0.0
2.8469925,2.8469925,2.8469925,0.25
0.2659921,0.2659921,0.2659921,0.0
2.9463869000000003,3.7404778,2.152296,1.0
5.823831,5.823831,5.823831,0.25
6.88693715,7.529613,6.2442613,1.0
10.815455,10.815455,10.815455,0.25
10.6335415,10.815455,10.451628,0.0
7.7952366,7.7952366,7.7952366,0.0
4.226707490909091,6.972449,2.654904,0.2727272727272727
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.218085,4.218085,4.218085,0.25
5.828137333333333,7.0811977,4.679829,1.0
9.55115,9.55115,9.55115,0.25
6.748281742857144,9.55115,3.5744033,0.0
0.0,0.0,0.0,0.0
0.12054574,0.6027287,0.0,0.2
3.0632718,3.0632718,3.0632718,0.25
3.0562715357142864,4.266448,1.6629065,0.35714285714285715
4.335648,4.335648,4.335648,0.25
3.8526249500000005,4.9883246,2.4339108,0.5
2.4920359,2.4920359,2.4920359,0.0
2.4920359,2.4920359,2.4920359,0.0
8.565486,10.386984,6.743988,1.0
12.142556666666666,13.420893,10.816642,1.0
11.148292,11.148292,11.148292,0.0
10.710719000000003,11.358045,9.672728,0.3333333333333333
7.7441835,7.7441835,7.7441835,0.0
5.933288775,6.8673806,5.2179976,0.125
8.27929,8.27929,8.27929,0.25
7.089399685714286,8.27929,5.211852,0.14285714285714285
1.8062414,1.8062414,1.8062414,0.0
5.484195,5.484195,5.484195,0.25
5.460834433333333,5.9571486,4.9411597,0.3333333333333333
12.114028333333332,16.74651,8.16146,1.0
19.14443,20.37224,17.907352,1.0
28.050138750000002,32.46729,23.366087,1.0
33.92338,33.92338,33.92338,0.5
29.10353866666667,31.842793,25.409327,0.0
25.1153465,25.47457,24.756123,0.5
23.863346,23.863346,23.863346,0.0
23.424745,23.863346,23.187996,0.0
21.707674,21.707674,21.707674,0.0
20.784481,20.784481,20.784481,0.0
19.948448,19.948448,19.948448,0.0
20.530249,20.530249,20.530249,0.25
20.057642,20.057642,20.057642,0.0
17.3223955,18.359093,16.285698,0.0
15.99419425,16.3595,15.708195,0.25
9.8168045,10.689161,8.944448,0.0
8.495514,8.944448,8.000748,0.3333333333333333
11.851115,13.191461,10.510769,1.0
13.191461,13.191461,13.191461,0.0
24.228556333333334,28.612915,18.08156,1.0
28.857866,28.857866,28.857866,0.25
26.503027,26.503027,26.503027,0.0
26.079402666666667,26.191088,26.014048,0.0
24.140923,24.140923,24.140923,0.0
27.946648,27.946648,27.946648,0.25
26.40308,26.40308,26.40308,0.0
26.40308,26.40308,26.40308,0.0
23.970475,24.711372,23.229578,0.0
23.765848,23.765848,23.765848,0.25
19.355717,19.355717,19.355717,0.0
18.320923999999998,18.342783,18.299065,0.5
23.559746999999998,25.657991,21.42599,1.0
25.745922,25.745922,25.745922,0.25
24.237972,24.237972,24.237972,0.0
25.982159,25.982159,25.982159,0.25
25.63821375,27.190445,24.310656,0.25
17.773586,19.946693,15.600479,0.0
15.207894,15.207894,15.207894,0.0
6.278297,6.278297,6.278297,0.0
3.8515563,3.8515563,3.8515563,0.0
3.7005432,3.7005432,3.7005432,0.0
5.9564195,5.9564195,5.9564195,0.25
6.61255275,7.268686,5.9564195,0.5
14.9922745,21.105244,9.022767,1.0
21.80807,21.80807,21.80807,0.25
25.03593,25.03593,25.03593,0.25
26.142782,26.142782,26.142782,0.25
29.853884,29.853884,29.853884,0.25
29.3242954,30.929369,28.227018,0.5
27.6036475,28.38078,26.826515,0.0
27.284339000000003,27.742163,26.826515,0.5
30.208906,30.208906,30.208906,0.25
32.015637,32.719913,31.311361,1.0
35.72786,35.72786,35.72786,0.25
35.288299499999994,35.325413,35.251186,0.5
37.181065,37.181065,37.181065,0.25
34.8932285,35.662327,34.12413,0.0
34.12413,34.12413,34.12413,0.0
15.64032929,32.61203,0.0,0.0
0.0,0.0,0.0,0.0
12.586227000000001,14.160164,11.01229,1.0
14.9411405,15.478955,14.403326,0.5
8.625314,10.832908,6.41772,0.0
4.664589925,5.6435103,3.5942776,0.0
0.0,0.0,0.0,0.0
4.2351215,5.4382854,3.0319576,1.0
5.540264785714285,6.2145476,4.268966,0.2857142857142857
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3.9490077,3.9490077,3.9490077,0.25
2.9019418,2.9019418,2.9019418,0.0
10.9858039,14.97993,6.5133276,1.0
14.97993,14.97993,14.97993,0.0
21.646821666666668,25.097736,18.408798,1.0
25.608461,25.608461,25.608461,0.25
19.732387666666664,23.088108,16.310122,0.0
17.76498057142857,19.677225,16.310122,0.8571428571428571
24.03817,24.03817,24.03817,0.25
24.03817,24.03817,24.03817,0.0
22.31309,22.31309,22.31309,0.0
21.32031,21.32031,21.32031,0.0
19.526718,19.526718,19.526718,0.0
18.841516,18.841516,18.841516,0.0
