,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1.8
10,2.4
11,2.7
12,3.1
13,2.2
14,1.6
15,1.8
16,0.7
17,1.1
18,2.0
19,3.7
20,4.6
21,5.3
22,6.1
23,7.2
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,1.8
34,2.4
35,2.7
36,3.1
37,2.2
38,1.6
39,1.8
40,0.7
41,1.1
42,2.0
43,3.7
44,4.6
45,5.3
46,6.1
47,7.2
48,9.55115
49,8.90885
50,7.787642
51,6.3859544
52,6.1958175
53,4.834155
54,3.5744033
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,1.8
65,2.4
66,2.7
67,3.1
68,2.2
69,1.6
70,1.8
71,0.7
72,1.1
73,2.0
74,3.7
75,4.6
76,5.3
77,6.1
78,7.2
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,1.8
89,2.4
90,2.7
91,3.1
92,2.2
93,1.6
94,1.8
95,0.7
96,1.1
97,2.0
98,3.7
99,4.6
100,5.3
101,6.1
102,7.2
103,9.55115
104,8.90885
105,7.787642
106,6.3859544
107,6.1958175
108,4.834155
109,3.5744033
110,5.8683863
111,5.8683863
112,5.2958946
113,3.953876
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,1.8
124,2.4
125,2.7
126,3.1
127,2.2
128,1.6
129,1.8
130,0.7
131,1.1
132,2.0
133,3.7
134,4.6
135,5.3
136,6.1
137,7.2
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,1.8
148,2.4
149,2.7
150,3.1
151,2.2
152,1.6
153,1.8
154,0.7
155,1.1
156,2.0
157,3.7
158,4.6
159,5.3
160,6.1
161,7.2
162,9.55115
163,8.90885
164,7.787642
165,6.3859544
166,6.1958175
167,4.834155
168,3.5744033
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,1.8
179,2.4
180,2.7
181,3.1
182,2.2
183,1.6
184,1.8
185,0.7
186,1.1
187,2.0
188,3.7
189,4.6
190,5.3
191,6.1
192,7.2
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,1.8
203,2.4
204,2.7
205,3.1
206,2.2
207,1.6
208,1.8
209,0.7
210,1.1
211,2.0
212,3.7
213,4.6
214,5.3
215,6.1
216,7.2
217,9.55115
218,8.90885
219,7.787642
220,6.3859544
221,6.1958175
222,4.834155
223,3.5744033
224,5.8683863
225,5.8683863
226,5.2958946
227,3.953876
228,3.7
229,7.5
230,15.0
231,21.2
232,25.7
233,27.7
234,29.6
235,31.8
236,34.8
237,37.4
238,40.0
239,42.4
240,45.9
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,1.8
251,2.4
252,2.7
253,3.1
254,2.2
255,1.6
256,1.8
257,0.7
258,1.1
259,2.0
260,3.7
261,4.6
262,5.3
263,6.1
264,7.2
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,1.8
275,2.4
276,2.7
277,3.1
278,2.2
279,1.6
280,1.8
281,0.7
282,1.1
283,2.0
284,3.7
285,4.6
286,5.3
287,6.1
288,7.2
289,9.55115
290,8.90885
291,7.787642
292,6.3859544
293,6.1958175
294,4.834155
295,3.5744033
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,1.8
306,2.4
307,2.7
308,3.1
309,2.2
310,1.6
311,1.8
312,0.7
313,1.1
314,2.0
315,3.7
316,4.6
317,5.3
318,6.1
319,7.2
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,1.8
330,2.4
331,2.7
332,3.1
333,2.2
334,1.6
335,1.8
336,0.7
337,1.1
338,2.0
339,3.7
340,4.6
341,5.3
342,6.1
343,7.2
344,9.55115
345,8.90885
346,7.787642
347,6.3859544
348,6.1958175
349,4.834155
350,3.5744033
351,5.8683863
352,5.8683863
353,5.2958946
354,3.953876
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,1.8
365,2.4
366,2.7
367,3.1
368,2.2
369,1.6
370,1.8
371,0.7
372,1.1
373,2.0
374,3.7
375,4.6
376,5.3
377,6.1
378,7.2
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,1.8
389,2.4
390,2.7
391,3.1
392,2.2
393,1.6
394,1.8
395,0.7
396,1.1
397,2.0
398,3.7
399,4.6
400,5.3
401,6.1
402,7.2
403,9.55115
404,8.90885
405,7.787642
406,6.3859544
407,6.1958175
408,4.834155
409,3.5744033
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,1.8
420,2.4
421,2.7
422,3.1
423,2.2
424,1.6
425,1.8
426,0.7
427,1.1
428,2.0
429,3.7
430,4.6
431,5.3
432,6.1
433,7.2
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,1.8
444,2.4
445,2.7
446,3.1
447,2.2
448,1.6
449,1.8
450,0.7
451,1.1
452,2.0
453,3.7
454,4.6
455,5.3
456,6.1
457,7.2
458,9.55115
459,8.90885
460,7.787642
461,6.3859544
462,6.1958175
463,4.834155
464,3.5744033
465,5.8683863
466,5.8683863
467,5.2958946
468,3.953876
469,3.7
470,7.5
471,15.0
472,21.2
473,25.7
474,27.7
475,29.6
476,31.8
477,34.8
478,37.4
479,40.0
480,42.4
481,45.9
482,47.5
483,45.1
484,42.2
485,38.8
486,35.3
487,32.0
488,29.0
489,26.4
490,24.0
491,21.8
492,19.6
493,17.0
494,14.8
495,12.4
496,10.1
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,1.8
507,2.4
508,2.7
509,3.1
510,2.2
511,1.6
512,1.8
513,0.7
514,1.1
515,2.0
516,3.7
517,4.6
518,5.3
519,6.1
520,7.2
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,1.8
531,2.4
532,2.7
533,3.1
534,2.2
535,1.6
536,1.8
537,0.7
538,1.1
539,2.0
540,3.7
541,4.6
542,5.3
543,6.1
544,7.2
545,9.55115
546,8.90885
547,7.787642
548,6.3859544
549,6.1958175
550,4.834155
551,3.5744033
552,0.0
