,SPEED
315104,0.0
315105,0.1
315106,0.0
315107,0.3
315108,0.0
315109,0.0
315110,0.1
315111,0.0
315112,0.0
315113,0.0
315114,0.0
315115,0.0
315116,0.1
315117,0.0
315118,0.1
315119,0.1
315120,0.0
315121,0.1
315122,0.1
315123,0.5
315124,0.9
315125,1.4
315126,2.4
315127,3.1
315128,4.4
315129,5.1
315130,6.1
315131,7.2
315132,8.3
315133,9.0
315134,9.4
315135,9.4
315136,9.6
315137,9.6
315138,9.6
315139,9.6
315140,9.4
315141,9.0
315142,8.7
315143,8.1
315144,7.5
315145,7.2
315146,6.6
315147,6.4
315148,6.2
315149,5.7
315150,4.4
