SPEED,acceleration,label
7.5473213,0,0
9.412433,1.8651117,1
9.335469,-0.076964,0
10.660797,1.325328,0
11.806228,1.145431,0
12.254907,0.448679,0
12.524374,0.269467,0
15.428015,2.903641,1
14.214543,-1.213472,0
14.214543,0,0
10.593957,-3.620586,2
7.1254606,-3.4684964,2
7.2152796,0.089819,0
3.945192,-3.2700876,2
0,-3.945192,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.8469925,2.8469925,1
0.2659921,-2.5810004,2
2.152296,1.8863039,0
3.7404778,1.5881818,0
5.823831,2.0833532,1
6.2442613,0.4204303,0
7.529613,1.2853517,0
10.815455,3.285842,1
10.815455,0,0
10.451628,-0.363827,0
7.7952366,-2.6563914,2
6.972449,-0.8227876,0
6.074734,-0.897715,0
4.635039,-1.439695,0
4.491654,-0.143385,0
4.1583724,-0.3332816,0
3.1629677,-0.9954047,0
4.0396395,0.8766718,0
2.8904474,-1.1491921,0
3.6564186,0.7659712,0
3.7571568,0.1007382,0
2.654904,-1.1022528,0
0,-2.654904,2
0,0,0
4.218085,4.218085,1
4.679829,0.461744,0
5.7233853,1.0435563,0
7.0811977,1.3578124,0
9.55115,2.4699523,1
9.55115,0,0
8.90885,-0.6423,0
7.787642,-1.121208,0
6.3859544,-1.4016876,0
6.1958175,-0.1901369,0
4.834155,-1.3616625,0
3.5744033,-1.2597517,0
0,-3.5744033,2
0.6027287,0.6027287,0
0,-0.6027287,0
0,0,0
0,0,0
0,0,0
3.0632718,3.0632718,1
2.8714588,-0.191813,0
3.3054721,0.4340133,0
3.3054721,0,0
4.266448,0.9609759,0
4.157132,-0.109316,0
2.8074598,-1.3496722,0
3.4291809,0.6217211,0
2.6085458,-0.8206351,0
3.323346,0.7148002,0
3.0264487,-0.2968973,0
3.0264487,0,0
2.7499242,-0.2765245,0
1.6629065,-1.0870177,0
2.2475579,0.5846514,0
4.335648,2.0880901,1
3.865572,-0.470076,0
4.296454,0.430882,0
4.4401474,0.1436934,0
4.3759193,-0.0642281,0
3.6216571,-0.7542622,0
3.361796,-0.2598611,0
3.4130194,0.0512234,0
4.0560703,0.6430509,0
3.855418,-0.2006523,0
4.54657,0.691152,0
3.7642632,-0.7823068,0
3.5296037,-0.2346595,0
3.9422777,0.412674,0
3.3935173,-0.5487604,0
4.4296455,1.0361282,0
4.690257,0.2606115,0
4.807629,0.117372,0
4.4806027,-0.3270263,0
3.6139023,-0.8667004,0
2.6274152,-0.9864871,0
2.6275675,0.0001523,0
2.4339108,-0.1936567,0
3.3014588,0.867548,0
4.9883246,1.6868658,0
2.4920359,-2.4962887,2
2.4920359,0,0
6.743988,4.2519521,1
10.386984,3.642996,1
10.816642,0.429658,0
12.190135,1.373493,0
13.420893,1.230758,0
11.148292,-2.272601,2
10.870491,-0.277801,0
11.178286,0.307795,0
11.358045,0.179759,0
11.010508,-0.347537,0
10.174256,-0.836252,0
9.672728,-0.501528,0
7.7441835,-1.9285445,2
6.8673806,-0.8768029,0
6.199713,-0.6676676,0
6.199713,0,0
5.9621024,-0.2376106,0
5.743084,-0.2190184,0
5.723816,-0.019268,0
5.2179976,-0.5058184,0
5.5525036,0.334506,0
8.27929,2.7267864,1
8.27929,0,0
8.215446,-0.063844,0
8.26416,0.048714,0
7.1777463,-1.0864137,0
6.5737348,-0.6040115,0
5.9035687,-0.6701661,0
5.211852,-0.6917167,0
1.8062414,-3.4056106,2
5.484195,3.6779536,1
5.484195,0,0
4.9411597,-0.5430353,0
5.9571486,1.0159889,0
8.16146,2.2043114,1
11.434115,3.272655,1
16.74651,5.312395,1
17.907352,1.160842,0
18.637556,0.730204,0
19.660572,1.023016,0
20.37224,0.711668,0
23.366087,2.993847,1
25.655283,2.289196,1
30.711895,5.056612,1
32.46729,1.755395,1
33.92338,1.45609,5
33.92338,0,5
31.842793,-2.080587,2
30.058496,-1.784297,2
25.409327,-4.649169,2
24.756123,-0.653204,5
25.47457,0.718447,5
23.863346,-1.611224,2
23.863346,0,5
23.222893,-0.640453,5
23.187996,-0.034897,5
21.707674,-1.480322,2
20.784481,-0.923193,5
19.948448,-0.836033,0
20.530249,0.581801,5
20.057642,-0.472607,0
18.359093,-1.698549,2
16.285698,-2.073395,2
15.708195,-0.577503,0
16.3595,0.651305,0
16.114561,-0.244939,0
15.794521,-0.32004,0
10.689161,-5.10536,2
8.944448,-1.744713,2
8.944448,0,0
8.000748,-0.9437,0
8.541346,0.540598,0
10.510769,1.969423,1
13.191461,2.680692,1
13.191461,0,0
18.08156,4.890099,1
25.991194,7.909634,1
28.612915,2.621721,1
28.857866,0.244951,5
26.503027,-2.354839,2
26.191088,-0.311939,5
26.033072,-0.158016,5
26.014048,-0.019024,5
24.140923,-1.873125,2
27.946648,3.805725,1
26.40308,-1.543568,2
26.40308,0,5
24.711372,-1.691708,2
23.229578,-1.481794,2
23.765848,0.53627,5
19.355717,-4.410131,2
18.299065,-1.056652,0
18.342783,0.043718,0
21.42599,3.083207,1
23.59526,2.16927,1
25.657991,2.062731,1
25.745922,0.087931,5
24.237972,-1.50795,2
25.982159,1.744187,1
27.190445,1.208286,5
25.915274,-1.275171,5
25.13648,-0.778794,5
24.310656,-0.825824,5
19.946693,-4.363963,2
15.600479,-4.346214,2
15.207894,-0.392585,0
6.278297,-8.929597,4
3.8515563,-2.4267407,2
3.7005432,-0.1510131,0
5.9564195,2.2558763,1
5.9564195,0,0
7.268686,1.3122665,0
9.022767,1.754081,1
11.643749,2.620982,1
18.197338,6.553589,1
21.105244,2.907906,1
21.80807,0.702826,5
25.03593,3.22786,1
26.142782,1.106852,5
29.853884,3.711102,1
30.531685,0.677801,5
30.100756,-0.430929,5
29.0193,-1.081456,5
28.75339,-0.26591,5
28.227018,-0.526372,5
28.227018,0,5
28.683262,0.456244,5
28.780214,0.096952,5
29.990942,1.210728,5
30.929369,0.938427,5
28.38078,-2.548589,2
26.826515,-1.554265,2
26.826515,0,5
27.742163,0.915648,5
30.208906,2.466743,1
31.311361,1.102455,5
32.719913,1.408552,5
35.72786,3.007947,1
35.251186,-0.476674,5
35.325413,0.074227,5
37.181065,1.855652,1
35.662327,-1.518738,2
34.12413,-1.538197,2
34.12413,0,5
32.61203,-1.5121,2
29.835075,-2.776955,2
23.967457,-5.867618,2
19.853142,-4.114315,2
15.4689455,-4.3841965,2
13.416943,-2.0520025,2
11.027485,-2.389458,2
7.1760387,-3.8514463,2
3.0461767,-4.129862,2
0,-3.0461767,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11.01229,11.01229,1
14.160164,3.147874,1
15.478955,1.318791,0
14.403326,-1.075629,0
10.832908,-3.570418,2
6.41772,-4.415188,2
5.6435103,-0.7742097,0
5.557858,-0.0856523,0
3.8627138,-1.6951442,0
3.5942776,-0.2684362,0
0,-3.5942776,2
3.0319576,3.0319576,1
5.4382854,2.4063278,1
6.183113,0.7448276,0
6.2145476,0.0314346,0
6.103103,-0.1114446,0
5.8932242,-0.2098788,0
5.3121457,-0.5810785,0
4.806754,-0.5053917,0
4.268966,-0.537788,0
0,-4.268966,2
0,0,0
3.9490077,3.9490077,1
2.9019418,-1.0470659,0
6.5133276,3.6113858,1
9.188151,2.6748234,1
13.261807,4.073656,1
14.97993,1.718123,1
14.97993,0,0
18.408798,3.428868,1
21.433931,3.025133,1
25.097736,3.663805,1
25.608461,0.510725,5
23.088108,-2.520353,2
19.798933,-3.289175,2
16.310122,-3.488811,2
16.310122,0,0
16.922726,0.612604,0
17.101665,0.178939,0
17.547483,0.445818,0
18.086315,0.538832,0
18.709328,0.623013,0
19.677225,0.967897,0
24.03817,4.360945,1
24.03817,0,5
22.31309,-1.72508,2
21.32031,-0.99278,5
19.526718,-1.793592,2
18.841516,-0.685202,0
16.992044,-1.849472,2
8.856381,-8.135663,4
8.856381,0,0
8.890436,0.034055,0
7.0885563,-1.8018797,2
1.9687523,-5.119804,2
1.6704073,-0.298345,0
0,-1.6704073,0
1.9963385,1.9963385,0
0,-1.9963385,0
10.211657,10.211657,1
12.960406,2.748749,1
16.6526,3.692194,1
20.9946,4.342,1
23.266804,2.272204,1
23.932316,0.665512,5
23.066933,-0.865383,5
22.035572,-1.031361,5
22.011042,-0.02453,5
22.039383,0.028341,5
21.731752,-0.307631,5
22.912342,1.18059,5
23.88324,0.970898,5
23.977068,0.093828,5
24.032784,0.055716,5
26.557163,2.524379,1
27.571718,1.014555,5
28.529507,0.957789,5
29.24865,0.719143,5
29.606125,0.357475,5
31.061625,1.4555,1
31.218412,0.156787,5
32.575974,1.357562,5
32.78139,0.205416,5
32.78139,0,5
33.37654,0.59515,5
32.78967,-0.58687,5
32.013947,-0.775723,5
31.61168,-0.402267,5
31.034485,-0.577195,5
30.613955,-0.42053,5
27.672325,-2.94163,2
27.672325,0,5
23.75531,-3.917015,2
18.464945,-5.290365,2
13.283609,-5.181336,2
12.020708,-1.262901,0
11.031716,-0.988992,0
9.85347,-1.178246,0
7.151516,-2.701954,2
4.975936,-2.17558,2
3.61411,-1.361826,0
3.980572,0.366462,0
4.6542983,0.6737263,0
6.9148555,2.2605572,1
6.9148555,0,0
7.1590652,0.2442097,0
6.581762,-0.5773032,0
4.404446,-2.177316,2
3.6265826,-0.7778634,0
2.1588778,-1.4677048,0
0,-2.1588778,2
3.7886295,3.7886295,1
3.7886295,0,0
4.0932236,0.3045941,0
4.702439,0.6092154,0
5.887109,1.18467,0
5.3442526,-0.5428564,0
5.2136016,-0.130651,0
5.896431,0.6828294,0
5.8992295,0.0027985,0
6.654652,0.7554225,0
7.0130105,0.3583585,0
7.0130105,0,0
5.825489,-1.1875215,0
6.5261703,0.7006813,0
6.8762207,0.3500504,0
6.67103,-0.2051907,0
6.420531,-0.250499,0
4.622769,-1.797762,0
5.8790884,1.2563194,0
3.9742522,-1.9048362,0
5.682535,1.7082828,0
6.1716833,0.4891483,0
7.083074,0.9113907,0
6.8068047,-0.2762693,0
6.3261814,-0.4806233,0
5.766976,-0.5592054,0
6.155564,0.388588,0
4.8469872,-1.3085768,0
5.043479,0.1964918,0
5.260422,0.216943,0
5.3582263,0.0978043,0
5.8741393,0.515913,0
8.326042,2.4519027,1
9.575228,1.249186,0
8.759084,-0.816144,0
7.1145673,-1.6445167,0
8.913945,1.7993777,1
8.345131,-0.568814,0
8.0415745,-0.3035565,0
6.1082454,-1.9333291,2
6.8727427,0.7644973,0
4.994547,-1.8781957,0
4.95774,-0.036807,0
5.6440773,0.6863373,0
5.567026,-0.0770513,0
5.7719426,0.2049166,0
3.888952,-1.8829906,0
3.4776251,-0.4113269,0
5.350354,1.8727289,1
6.8024735,1.4521195,0
6.93656,0.1340865,0
6.5656576,-0.3709024,0
6.4518204,-0.1138372,0
5.7410545,-0.7107659,0
4.345043,-1.3960115,0
4.1905856,-0.1544574,0
1.8754148,-2.3151708,2
1.8754148,0,0
1.8150759,-0.0603389,0
1.3501168,-0.4649591,0
0,-1.3501168,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.087771,3.087771,1
4.6413174,1.5535464,0
6.5497127,1.9083953,1
6.962446,0.4127333,0
5.39074,-1.571706,0
4.62114,-0.7696,0
4.674743,0.053603,0
4.865655,0.190912,0
3.1117568,-1.7538982,0
1.2432661,-1.8684907,0
0.78571117,-0.45755493,0
0,-0.78571117,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.9104595,4.9104595,1
2.9420016,-1.9684579,0
2.9420016,0,0
1.3052442,-1.6367574,0
1.6907585,0.3855143,0
2.18662,0.4958615,0
3.4168668,1.2302468,0
5.0449343,1.6280675,0
7.7069664,2.6620321,1
5.784825,-1.9221414,2
7.0593834,1.2745584,0
7.517799,0.4584156,0
7.490351,-0.027448,0
8.096691,0.60634,0
8.997772,0.901081,0
8.960839,-0.036933,0
9.197753,0.236914,0
9.898706,0.700953,0
9.208782,-0.689924,0
9.208782,0,0
8.663215,-0.545567,0
8.64096,-0.022255,0
8.832452,0.191492,0
7.9137444,-0.9187076,0
6.2923875,-1.6213569,0
6.2542057,-0.0381818,0
8.209614,1.9554083,1
