,SPEED
2,-0.07696400000000025
8,-1.2134719999999994
10,-3.620586000000001
11,-3.4684963999999994
13,-3.2700875999999997
14,-3.945192
45,-2.5810003999999998
53,-0.36382700000000057
54,-2.6563913999999995
55,-0.8227875999999998
56,-0.8977149999999998
57,-1.4396950000000004
58,-0.14338500000000032
59,-0.3332815999999994
60,-0.9954047000000004
62,-1.1491921
65,-1.1022528
66,-2.654904
74,-0.6423000000000005
75,-1.1212079999999993
76,-1.4016875999999998
77,-0.19013689999999972
78,-1.3616625000000004
79,-1.2597516999999998
80,-3.5744033
82,-0.6027287
87,-0.1918129999999998
91,-0.10931599999999975
92,-1.3496721999999997
94,-0.8206351000000001
96,-0.2968972999999999
98,-0.27652449999999984
99,-1.0870177
102,-0.47007600000000016
105,-0.06422810000000023
106,-0.7542621999999994
107,-0.2598611000000002
110,-0.20065230000000023
112,-0.7823068000000002
113,-0.2346594999999998
115,-0.5487603999999999
119,-0.3270263
120,-0.8667004000000005
121,-0.9864870999999997
123,-0.19365670000000001
126,-2.4962887000000005
133,-2.272601
134,-0.2778010000000002
137,-0.3475370000000009
138,-0.836252
139,-0.5015280000000004
140,-1.9285444999999992
141,-0.8768029000000004
142,-0.6676675999999997
144,-0.2376106
145,-0.2190184000000004
146,-0.019267999999999397
147,-0.5058183999999999
151,-0.06384399999999957
153,-1.0864137000000005
154,-0.6040114999999995
155,-0.6701661000000003
156,-0.6917166999999997
157,-3.4056106
160,-0.5430352999999997
175,-2.0805870000000013
176,-1.7842969999999987
177,-4.6491690000000006
178,-0.6532040000000023
180,-1.611224
182,-0.6404530000000008
183,-0.034897000000000844
184,-1.4803219999999975
185,-0.9231930000000013
186,-0.8360330000000005
188,-0.472607
189,-1.6985489999999999
190,-2.0733950000000014
191,-0.5775030000000001
193,-0.24493900000000224
194,-0.32003999999999877
195,-5.105359999999999
196,-1.7447130000000008
198,-0.9436999999999998
207,-2.354839000000002
208,-0.31193899999999886
209,-0.15801599999999993
210,-0.019024000000001706
211,-1.8731249999999982
213,-1.5435680000000005
215,-1.6917079999999984
216,-1.4817940000000007
218,-4.410131
219,-1.0566519999999997
225,-1.507950000000001
228,-1.2751710000000003
229,-0.7787940000000013
230,-0.8258239999999972
231,-4.363963000000002
232,-4.346214
233,-0.3925850000000004
234,-8.929597
235,-2.4267407000000003
236,-0.15101310000000012
249,-0.430928999999999
250,-1.0814559999999993
251,-0.26591000000000165
252,-0.5263719999999985
258,-2.5485889999999998
259,-1.554265000000001
266,-0.4766740000000027
269,-1.518737999999999
270,-1.5381969999999967
272,-1.5121000000000038
273,-2.7769549999999974
274,-5.867618
275,-4.114315000000001
276,-4.384196499999998
277,-2.0520025000000004
278,-2.3894579999999994
279,-3.8514463
280,-4.129862
281,-3.0461767
292,-1.0756289999999993
293,-3.570418
294,-4.415188
295,-0.7742097000000001
296,-0.08565229999999957
297,-1.6951442000000005
298,-0.2684362
